呵	;kk;kk;kk;dz;ks;kk;kh
䎏	;rx;rx;yh;jz;wy;;
䎨	;ld;ld;ly;aa;di;;
䜙	;yh;wh;yx;sc;yj;;
䨄	;rv;rf;vy;ju;wy;;
䬓	;fo;jo;fy;ox;mt;;
䮗	;mg;mg;ma;ne;cm;;
䯥	;gh;gh,mh;gx;fc;me;;
侒	;rn;rn;ra;jb;wp;;rb
偣	;ro;ro;ry;jx;wu;;rd
屵	;ui;ei;ui;vx;md;;sp
屽	;ug;eg;ug;ve;mf;;sh
揞	;fo;fo;fy;ux;ru;fo;fd
玵	;wg;wg;wg;nz;ga;;wc
罯	;so;so;sy;yx;lu;;sg
葊	;cc;cc;cc,cy;ll;aw;;cc
蓭	;cd;cd;ca;la;ay;;cv
裺	;pd;pd;yd,yy;ta;pu;;dh
誝	;yk;wk;yh;sd;yw;;ar
諳	;yo;wp;yy;sx;yu;;ad
豻	;vg;vg;vg;me;ee;;ph
貋	;vg;vg;vh;me;ee;;pg
雸	;yg;yg;yg;tz;fa;;hh
馣	;hd;hd;xd,xy;xa;tj;;eh
鵪	;dn;dn;nd,ny;mx;dj;;hp
鶕	;ln;ln;ny;xx;uj;;dp
𠉬	;ri;ri;ri;jx;wk;;
𠪚	;iw;iw;ig;xh;dn;;
𠰑	;kg;kg;ka,kg;de;kd;;
𠽪	;ko;ko;ka,ky;dx;ki;;
𠿑	;kx;kx;kg;dh;kd;;
𡎑	;tp;tp;ty;ge;fu;;
𡪁	;bk;bk;bh;wd;pn;;
𡪙	;bo;bo;am;wv;pv;;
𡯏	;yd;yu;wd,yd;oj;dn;;
𡹼	;uk;ek;ey,uy;vs;md;;
𡽜	;uk;ek;ly,uy;vs;mt;;
𢰍	;fh;fh;fh;uc;ry;;
𣆛	;xo;xo;ox,xo;vo;sj;;
𣚖	;md;md;ma,my;ea;sa;;
𣣚	;dq;dr;qy,yq;me;dj;;
𣵱	;dw;dw;dk,dr;kn;ir;;
𣽥	;dy;db;dg,dh;kw;if;;
𤃷	;do;do;da,dy;kx;iu;;
𤜁	;sx;sx;mg;kh;cr;;
𤞿	;qq;qq;qa;mm;qt;;
𤟉	;qg;qg;qa;me;qt;;
𥏮	;uo;uo;uy;ox;td;;
𥦍	;bc;bc;xg,xc;el;pw;;
𥳬	;vh;vh;vh;rp;tl;;
𦺽	;cd;cd;ca,cy;la;aj;;
𧖮	;po;xo;xo;to;tl;;
𧩸	;yc;wc;yy;sl;yw;;
𧫥	;yd;wd;ya;sa;yy;;
𧫧	;yy;wy;yy;sy;yw;;
𧮍	;yo;wo;ya,yy;sx;yu;;
𨲊	;eg;ag;ia;pe;dm;;
𩅝	;yd;yd;yy;ta;ff;;
𩈴	;mo;mo;my;bx;dm;;
𩓤	;uy;eb;ya,ay;vw;md;;
𩭢	;eg;ag;ia;pe;de;;
𩹎	;yo;ao;yy;wx;qo;;
𪁟	;rn;rn;nh,hn;jx;wy;;
𪒠	;lw;hw;hg;ph;lf;;
𪘒	;vk;vk;ih;ld;hb;;
仰	;re;re;re,ry;jz;wq;re;rp
骯	;gj;gj;gk;fo;me;;sd
枊	;me;me;me;ez;sq;;mp
昻	;oe;oe;oe,oq;oz;ja;;gs
㦹	;og;og;gy;op;jg;;
㭿	;me;me;ma;ez;sj;;
㼜	;yw;yw;wy;mr;md;;
䀚	;oe;oe;oa;qz;hq;;
䍩	;yw;yw;yw;gh;ud;;
䒢	;ce;ce;ca;lz;aq;;
䩕	;ge;ge;ga;tz;af;;
䭹	;me;me;ma;nz;cq;;
䭺	;mj;mj;mk;no;cy;;
岇	;ue;ee;ue,uy;vz;mq;;ss
醠	;ym;ym;ya;ya;sg;;hs
𠵫	;ke;ke;ka;dz;kj;;
𠹃	;km;km;ka;da;km;;
𡕉	;tk;uk;jk;gm;fk;;
𡵙	;ue;ee;ua;vz;mq;;
𢓋	;re;ie;xa;wz;tq;;
𣉗	;om;om;oa;oa;jm;;
𣖮	;mm;mm;ma;ea;sm;;
𤭒	;lw;gw;lw,dw;ir;yv;;
𦫫	;gb;bb;sw,ws;hm;wc;;
𨋕	;ie;ie;ia;yz;lq;;
𩉰	;gj;gj;gz,gj;tr;af;;
𩑝	;py;pb;ya,ay;bw;qb;;
𩔘	;sy;sb;yy;kw;ce;;
𩜟	;ue;re;ua;qz;wy;;
艹	;al;al;aa,ck;lc;ag,zz;;cb
奧	;pd;pd;db,pd;tm;tm;;pd
嚣	;kk;kk;kk,yk;dd;kk;kk;kk
獓	;qw;qw;qa,qw;mh;qt;;ph
爊	;hh;hh;hb,hh;cc;oy;;qd
垇	;ta;ta;ta;gf;fm;ta;ts
鼇	;fd;fv;ma,mw;ad;gq;;hv
隞	;ew;ew;ea,ew;th;bg;;vh
墺	;td;td;ta;gm;ft;;tp
泑	;dl;dl;dy;ks;ix;;ui
熝	;hl;hb;hl;cx;oy;;qd
滶	;dw;dw;da,dw;kh;ig;;uh
芺	;cy;cy;cy;lm;at;;cd
抝	;fv;fv;fh;ua;rx;;fi
襖	;pd;pd;ya;tm;pu;;dp
鏕	;jl;jb;jl;zx;qy;;jd
厫	;iw;iw;ia,iw;xh;dg;;hd
慠	;xw;xw;xa,xw;hh;ng;;xh
翺	;zx;zx;yg,yu;oz;th;;
謷	;fk;fk;ya,yw;as;gq;;ha
軪	;il;il;iy;ys;lx;;hi
扷	;fy;fy;fy;um;rt;;fp
澚	;dk;dv;dy;ka;it;;up
鰲	;fy;fa;ya,yw;aw;gq;;hq
㑃	;rl;rl;ry;js;wx;;
㕭	;ky;ky;ky;dm;kt;;
㘬	;tg;ts;tg;gk;fq;;
㘭	;tv;tv;th;ga;fx;;
㜜	;nw;nw;na;bh;vg;;
㜩	;nd;nd;na;bm;vt;;
㟼	;uw;ew;ua;vh;mg;;
㠂	;uw;ew;ua;vh;mg;;
㠗	;ud;ed;ua;vm;mt;;
㤇	;xy;xy;xy;hm;nt;;
㥿	;fx;fx;xa;ah;gq;;
㿰	;wp;wy;pj;ar;uq;;
䐿	;od;od;oa;vm;et;;
䚫	;by;by;jj;ut;ry;;
䜒	;yd;wd;ya;sm;yt;;
䞝	;ty;ty;zy;pi;fh;;
䥝	;jb;jb;jy;zv;qy;;
䦋	;ew;aw;ia;ph;dg;;
䫨	;fy;fb;ya;aw;gq;;
䮯	;mw;mw;ma;nh;cg;;
䯠	;gm;gm;gw;fa;me;;
䴈	;pn;pn;na;tx;tm;;
䵅	;fw;fw;ma;ah;gq;;
嗸	;fk;fk;ka,kw;ad;gq;;hk
墽	;tw;tw;tj,tw;gh;fr;;tp
媼	;nm;nm;nm,nw;ba;vl;;ns
嫯	;fn;fn;na,nw;ab;gq;;hn
岰	;ul;el;uy;vs;mx;;si
嶴	;pu;pe;ua;tv;tm;;ps
摮	;fu;fu;ua,uw;au;gq;;hf
擙	;fd;fd;fa;um;rt;;fp
柪	;ml;ml;my;es;sx;;mi
梎	;mb;mb;mb;ev;sr;;mp
眑	;ol;ol;oy;qs;hx;;si
磝	;uw;uw;ua,uw;mh;dg;;hh
翶	;bx;bx;yg,yu;uz;ri;;pv
蔜	;cw;cw;ca,cw;lh;ag;;cd
謸	;yw;ww;ya,yw;sh;yg;;ah
郩	;xe;xe;ey;bt;qd;;pv
镺	;ey;ay;iy;pm;dt;;hp
驁	;fm;fm;ma,mw;an;gq;;hq
鷔	;fn;fn;na,nw;ax;gq;;hd
𡊛	;tq;ts;tq;gk;ff;;
𡏼	;tw;tw;ta;gh;fg;;
𡒃	;pt;pt;at;tg;tm;;
𢁱	;jy;jy;jy;rm;mh;;
𢕟	;rw;iw;xa;wh;tg;;
𢧴	;fg;fg;ga,ag;gp;gq;;
𢲷	;ff;fx;fj;ub;rp;;
𢳆	;fw;fw;fa;uh;rg;;
𣊁	;fo;fo;oa,ao;go;gq;;
𣷫	;dw;dw;df;kh;iy;;
𤇯	;yh;wy;wp;tc;yo;;
𤏶	;hb;hb;hy;cv;oy;;
𤺾	;bd;bd;ba;am;ut;;
𥂢	;fm;fm;am;aa;gq;;
𥑑	;ul;ul;uy;ms;dx;;
𥜌	;ud;pd;ua;fm;py;;
𦪈	;fv;fv;va;gi;gq;;
𦽀	;cy;ub;ca,cy;lw;at;;
𧅃	;ch;ch;ca,ch;lc;ao;;
𧨲	;xk;xk;uy,yu;ss;ip;;
𨱧	;el;al;iy;ps;dx;;
𩈏	;ml;ml;my;bs;dm;;
𩑍	;yv;av;yg;wa;dm;;
𩑤	;wy;wb;yw,wy;ew;tf;;
𩕀	;fy;fb;ay,ya;aw;gq;;
𩘮	;ff;fi;fa,af;gc;gq;;
𩟇	;ud;rd;ua;qm;wy;;
𩣻	;cm;cm;ma,cm,my;ln;at;;
𩥊	;wm;wm;mg;gn;ym;;
𩮯	;ew;aw;ia;ph;de;;
𩱏	;fg;fl;ga;gn;gq;;
𩼈	;yd;ad;ya;wm;qo;;
𪁾	;cn;cn;na,cn,ny;lx;at;;
𪃨	;un;en;yn;vx;xx;;
伯	;rb;rb;rb;ju;wr;rb;rp
抜	;fy;fy;fy;ur;rd;;fh
覇	;xo;xo;xo;vv;sa;;hy
峇	;uk;ek,wk;uh;vd;mw;;sk
罷	;sb;sb;sn;yv;lc;;sv
犮	;uy;ud;ad,yd;ni;dc;;hd
丷	;dp;dp;ba,dm,dp;hb;uy;;dp
鈀	;jb;jb;jb;zm;qc;;jv
哱	;kz;kz;kb,kz;dh;kf;kz;kh
茇	;cy;cd;cb,cy;li;ad;cy;cd
軷	;iy;id;ib;yi;ld;;hh
癹	;bu;vy;du;hr;wm;;vd
仈	;rb;rb;rb;jh;ww;;rp
弝	;gb;gb;gb;bm;xc;;vv
豝	;ub;ub;ub;jm;ec;;hv
鲌	;yb;ab;yb;wu;qg;eb;pp
壩	;to;to;tb;gv;ff;;th
颰	;fy;jd;fb;oi;mt;;pd
炦	;hy;hd;hb;ci;od;;qh
皅	;bb;bb;bb;um;rc;;pv
垻	;tb;tb;tb;go;fm;;ts
柭	;my;md;mb;ei;sd;;mh
釟	;jb;jb;jb;zh;qw;;jp
㔜	;vl;pl;lf;ys;eb;;
㖠	;ku;kx;kn;df;kd;;
㞎	;ub;ub;ub;cm;nc;ub;
㧊	;fj;fl;fu;ur;rg;;
㶚	;do;do;db;kv;is;;
䃻	;uo;uo;ub;mv;df;;
䆉	;hb;hb;hb;xv;tl;;
䇑	;lu;lu;lb;in;ur;;
䎬	;lq;ls;lb;ak;di;;
䎱	;lb;lb;lb;av;di;;
䟦	;zy;zy;zy;pr;kh;;
䥯	;jb;jb;jb;zv;ql;;
䩗	;go;go;go;tv;af;;
䩻	;gm;gm;gm;tn;af;;
䰾	;yb;ab;yb;wm;qo;;
䱝	;yu;au;yb;wn;qo;;
䳁	;ny;nd;nb;xi;wv;;
䳊	;un;un;nb;nx;dc;;
叐	;py;py;py;tr;td;;pd
哵	;kd;kd;kb;dp;kk;;kk
夿	;db;db;db;mm;dc;;hv
欛	;mo;mo;mb;ev;sf;;mh
玐	;wb;wb;wb;nh;gw;;wp
矲	;ub;ub;ub,un;ov;td;;ps
詙	;yy;wd;yb;si;yd;;ah
跁	;zb;zb;zb;pm;kh;;zv
魞	;yr;ar;yr;wj;qo;;pp
鮁	;yy;ad;yb;wi;qo;;ph
鮊	;yb;ab;yb;wu;qo;;pp
鼥	;jy;jd;ub;pi;vn;;ph
𠐌	;rb;rb;rb;jv;wl;;
𠛋	;bd;bd;bd;mp;cj;;
𠵺	;kb;kb;kb;dm;ke;;
𡚭	;nb;nb;nb;bh;vw;;
𢃳	;eb;eb;vb;bm;vp;;
𢇷	;gy;gd;gb,gd;xi;yd;;
𢠭	;xy;ry;xj;hr;np;;
𢺞	;fo;fo;fb;uv;rf;;
𢻷	;by;by;wb,pb,bp;mh;ch;;
𣬶	;mb;mb;mb;vm;tf;;
𣬷	;bm;bm;bm;mv;ct;;
𤜕	;to;uo;tx,nx;gq;fp;;
𤜱	;qb;qb;qb;mm;qt;;
𤣸	;wv;wv;wv;nb;gd;;
𤤒	;wy;wd;wb,wd;ni;gd;;
𥎱	;uy;ud;ub,ud;oi;td;;
𥐙	;ub;ub;ub;mh;dw;;
𥝧	;hb;hb;hb;xm;tc;;
𥥛	;by;bd;xb,xd;ei;pw;;
𦓧	;lb;lb;lb;ah;di;;
𦫙	;bb;bb;sb,bs;um;rq;;
𦳺	;cy;cz;cd;lu;ad;;
𧎱	;bi;bi;bk,bi,ii;mc;cj;;
𧲧	;vb;vb;vb;mm;ee;;
𧺡	;tj;tl;zu;pr;fh;;
𧺺	;ty;td;zb,zd;pi;fh;;
𧿏	;zd;zv;zd;pz;kh;;
𨊹	;ib;ib;ib;ym;lc;;
𩃴	;yo;yo;yc,yo;tv;fg;;
𩊤	;gy;gd;gb,gd;ti;af;;
𩖣	;wf;wi;fw,wf;vc;ym;;
𩖽	;fp;jy;fp;or;mt;;
𩚥	;ub;rb;ub;qm;wy;;
𩡩	;mb;mb;mb;nh;cw;;
𩨜	;gb;gb;gb;fm;me;;
𩹏	;yq;aq;bq;wm;qo;;
𩽷	;yo;ao;yb;wv;qo;;
呗	;kb;kr;kb;do;km;kr;ks
唄	;kb;kb;kb;do;km;;ks
擺	;fb;fb;fb,fn;uv;rl;;fs
敗	;bw;ow;wb;oh;mt;;sp
擘	;uu;uu;ub,ux;cu;nk;uu;vf
拝	;ff;ff;ff;ua;rd;;fh
栢	;mb;mb;mb;eu;sd;;mh
粨	;mb;mb;mb;pu;od;;dh
粺	;mu;mu;mb;pn;or;;dp
韛	;wy;vy;wy;gt;nh;;vc
猈	;qu;qu;qb;mn;qt;;pp
襬	;pb;pb;yb,yn;tv;pu;;ds
㓦	;bd;bd;db;fp;dj;;
㗑	;kf;kf;kb;da;kr;;
㗗	;ku;ku;bb,lb;dn;kl;;
㠔	;ux;eu;ub;vn;mn;;
㧳	;fu;fu;ub;uu;rw;;
㼟	;bw;bw;wb;ur;rg;;
㼣	;bw;bw;wb;fr;dj;;
㿟	;bb;bb;bb;uu;rr;;
䒔	;cb;cb;cb;lh;aw;;
䙓	;pq;ps;yb;tk;pu;;
䢙	;zb;zb;zb;ou;mp;;
䳆	;bn;bn;nb;ux;rw;;
䴽	;lu;lu;mb;en;sw;;
庍	;gj;gj;gj;xt;yr;;ds
挀	;fy;fn;fp;ut;rr;;fp
瓸	;wb;wb;wb,a;ma;ru;gn;
竡	;lb;lb;lb;iu;ud;;dh
絔	;sb;yb;sb;iu;xd;;ih
薭	;cu;cu;cb;ln;at;;cs
贁	;bw;ow;bw,wb;oh;mm;;sp
𠟻	;bd;od;bd;op;mm;;
𠫛	;sg;ss;ss;kk;cg;;
𠮠	;kd;kb,kp;kg;dp;kq;;
𡏯	;tw;tw;tb;gh;fm;;
𡭢	;xm;xm;xm;ye;is;;
𢈕	;gy;gn;gp;xt;yr;;
𢛞	;xu;xu;xb;hn;nr;;
𣧙	;du;du;du;gu;gq;;
𤁣	;db;db;db;kv;il;;
𤙅	;nj;nj;nb;qr;tr;;
𤽹	;bu;bu;bb;un;rr;;
𥬝	;vb;vb;vb;ru;tr;;
𦣺	;zl;zl;zu;og;th;;
𦣻	;az;az;ao,az;fo;dh;;
𦩋	;vf;vf;vf;ir;te;;
𦳞	;cf;cf;cb;la;ar;;
𨃅	;zf;zf;zb;pa;kh;;
𩋂	;gf;gf;gf;tr;af;;
𩎻	;wf;vf;wf;gr;nh;;
𩏞	;wx;vx;wl;gi;nh;;
𩑢	;by;bb;yb,by;cw;gi;;
辦	;xl;lu;lx,xx;nn;ul;;dv
闆	;mk;mk;mp;ad;uk;;vk
粄	;my;my;mf;pr;or;my;dp
跘	;zb;zb;zb;pu;kh;;zd
絆	;sb;yb;sb;iu;xu;;id
頒	;fy;bb;yf;hw;wv;;ph
肦	;of;od;of;vp;ew,mu;;yp
舨	;vy;vy;vf;ir;te;vy;pp
蝂	;iy;iy;ib;cr;jt;;op
搫	;vu;vu;ub;iu;te;;pf
怑	;xb;xb;xb;hu;nu;;xd
朌	;of;od;of;vp;ew;;yp
姅	;nb;nb;nb;bu;vu;;nd
鳻	;fn;bn;nf;hx;wv;;pp
鈑	;jy;jy;jf;zr;qr;;jp
鉡	;jb;jb;jb;zu;qu;;jd
㚘	;ff;ff;ff;hh;fw;;
㩯	;fx;fx;ff;ui;rt;;
㪵	;bd;bu;db;hj;ud;;
㸞	;pp;pp;pp;aa;th;;
䉽	;mb;mb;mb;pu;ou;;
䕰	;ct;ct;cf;lq;ao;;
䬳	;ub;rb;ub;qu;wy;;
坢	;tb;tb;tb;gu;fu;;td
岅	;uy;ey;uf;vr;mr;;sp
斒	;wc;wc;wb;vi;yy;;dd
瓪	;wy;wy;wf;rr;gn;;hp
秚	;hb;hb;hb;xu;tu;;ed
螁	;ig;iz;it;cu;jv;;ov
螌	;vi;vi;ib;ic;te;;po
褩	;vy;vy;yb;it;te;;pd
辬	;xw;lu;wx,xx;nn;uy;;dd
魬	;yy;ay;yf;wr;qo;;pp
𠔯	;bf;bd,bn;bp,bf;hi;wo;;
𠚼	;fd;bd;fd;hp;wv;;
𠦒	;cf;al;uy,ay;la;fj;;
𠧫	;bw;lw;bw;yh;hj;;
𠯘	;ky;ky;kf;dr;kr;;
𠺚	;kl;kw;kb;dn;kg;;
𡯘	;yy;yy;wf,yf;or;dn;;
𢲔	;fl;fw;fb;un;rg;;
𢴬	;fw;fw;fb;un;rg;;
𣪂	;du;dy;ud;mr;my;;
𤡰	;qw;qw;qb;mn;qt;;
𤦦	;ww;ww;bw;nn;gw;;
𤫫	;fg;bg;gf,fg;hy;wv;;
𤳖	;cq;ps;fq;tk;to;;
𥷁	;vl;vu;vb;rn;tu;;
𥹓	;mq;ms;mq;pk;of;;
𦎊	;yb;yb;ym,yb;gh;ud;;
𦙹	;ox;ox;oi;vb;en;;
𦝤	;oy;oy;ob;vc;eu;;
𧇥	;hm;hm;hl;ze;ha;;
𧌿	;pi;pi;bi;ac;th;;
𧿨	;zy;zy;zf;pr;kh;;
𨐦	;xf;li;xf;nc;um;;
𨐱	;xx;lu;xx;nn;ue;;
𨐾	;vk;vu;xx;an;nu;;
𩔮	;wy;wb;yb,by;nw;gy;;
𩢔	;mb;mb;mb;nu;cu;;
𩭧	;eu;au;ib;pn;de;;
𩿉	;nf;nd;nf;xp;wv;;
𪄕	;wn;wn;bn,nb;nx;gy;;
𪒋	;lu;hy;hb;pr;lf;;
旁	;wf;wf;wf,lf;il;up;wf;dp
彭	;tp;up;pd,up;he;fk;up;tp
幫	;tj;fj;bf,jf;gr;ff;;ts
髈	;gf;gf;gp;fl;me;;sd
綁	;se;ye;sb;it;xd;;ih
棓	;mk;mk;mk,mp;ed;su;lk;md
牓	;pf;pf;pp;al;th;;pd
蜯	;if;il;if;cu;jd;;oh
艕	;vf;vf;vp;il;te;;pd
蚄	;if;if;if;cl;jy;if;od
鎊	;jf;jf;jp;zl;qu;;jd
㔙	;bl;bl;lb;hs;ua;;
㭋	;mf;mf;mf;ea;sd;;
㮄	;mf;mf;mp;el;sf;;
㯁	;mk;mk;mp;ed;sb;;
㾦	;bk;bk;bp;ad;uu;;
䂜	;uf;uf;uf;ma;dd;;
䎧	;lk;lk;lp;ad;di;;
䖫	;ig;ig;ig;ce;jw;;
䟺	;zb;zb;zb;po;kh;;
䧛	;ef;ef;ep;tl;bu;;
䰷	;yf;af;yf;wa;qo;;
垹	;te;te;tb;gt;fd;;th
幇	;tj;tj;jf;gr;ff;;ts
幚	;fj;fj;bb,jb;ar;dt;;hs
挷	;fe;fe;fb;ut;rd;;fh
捠	;fb;fb;fb;uh;rr;;fp
硥	;up;ud;ul,um;me;dd;;hh
稖	;hk;hk;hk,hp;xd;tu;;ed
縍	;sf;yf;sp;il;xu;;id
蛖	;ip;id;il,im;ce;jd;;oh
謗	;yf;wf;yp;sl;yu;;ad
邫	;fb;fb;fb,fy;am;dt;;hk
鞤	;tg;tg;gf;gt;ff;;ts
𠨵	;if;if;if;xa;dd;;
𠬣	;vy;ay;yy;fr;hn;;
𠲑	;bv;bv;;ha;ud;;
𡽲	;uf;ef;ub;vl;ms;;
𢁏	;nj;nj;jg;qv;tf;;
𢄎	;jf;jf;jp;rl;mh;;
𢜗	;xf;xl;xf;hu;nd;;
𢪋	;ff;ff;ff;ua;rd;;
𢮏	;uk;uk;up;ud;ru;;
𢶶	;fx;fx;fy;uh;ru;;
𢸌	;fj;fj;fb;ur;rr;;
𣘙	;me;me;mb;et;su;;
𣮡	;dm;dm;mb;mv;df;;
𣮧	;bm;bm;mb,bm;hv;uo;;
𤚰	;nf;nf;np;ql;tr;;
𤱵	;jt;jt;ht,te;hq;ud;;
𥀂	;tp;ty;pf,fp;gr;ff;;
𦰥	;ce;ce;cb;lt;ar;;
